iter	Passed	Remaining
695	8281	15515
696	8306	15527
697	8332	15542
698	8356	15552
699	8369	15542
700	8392	15551
701	8397	15526
702	8401	15501
703	8412	15486
704	8445	15512
705	8454	15495
706	8458	15469
707	8473	15462
708	8477	15437
709	8513	15468
710	8526	15458
711	8557	15480
712	8571	15472
713	8599	15488
714	8609	15473
715	8635	15486
716	8654	15486
717	8662	15466
718	8677	15459
719	8687	15445
720	8698	15430
721	8703	15406
722	8728	15416
723	8751	15424
724	8782	15445
725	8798	15439
726	8829	15460
727	8839	15445
728	8868	15462
729	8872	15436
730	8893	15439
731	8909	15432
732	8914	15408
733	8969	15470
734	8981	15457
735	8999	15455
736	9016	15451
737	9027	15438
738	9069	15475
739	9110	15512
740	9115	15486
741	9143	15502
742	9167	15508
743	9177	15493
744	9182	15468
745	9187	15443
746	9191	15418
747	9205	15408
748	9223	15404
749	9253	15422
750	9258	15397
751	9291	15420
752	9303	15406
753	9308	15383
754	9337	15397
755	9342	15372
756	9371	15388
757	9376	15363
758	9380	15337
759	9384	15312
760	9397	15300
761	9406	15282
762	9424	15278
763	9428	15253
764	9432	15227
765	9436	15201
766	9453	15196
767	9462	15178
768	9487	15187
769	9500	15176
770	9505	15152
771	9517	15139
772	9540	15144
773	9549	15125
774	9557	15106
775	9565	15087
776	9576	15073
777	9601	15080
778	9627	15089
779	9651	15095
780	9663	15082
781	9667	15056
782	9719	15107
783	9734	15097
784	9758	15104
785	9772	15094
786	9800	15105
787	9810	15089
788	9815	15064
789	9838	15068
790	9851	15057
791	9878	15067
792	9905	15077
793	9922	15071
794	9935	15059
795	9954	15057
796	9981	15066
797	9987	15043
798	10014	15053
799	10026	15039
800	10053	15049
801	10094	15078
802	10101	15057
803	10122	15057
804	10146	15062
805	10164	15057
806	10169	15033
807	10189	15032
808	10202	15020
809	10206	14994
810	10224	14990
811	10228	14964
812	10247	14961
813	10250	14935
814	10254	14909
815	10257	14883
816	10260	14857
817	10282	14857
818	10286	14833
819	10291	14809
820	10298	14788
821	10317	14786
822	10332	14776
823	10339	14756
824	10370	14770
825	10377	14749
826	10409	14764
827	10418	14746
828	10439	14746
829	10443	14722
830	10457	14711
831	10466	14693
832	10478	14679
833	10483	14656
834	10489	14634
835	10517	14643
836	10539	14643
837	10562	14646
838	10568	14624
839	10590	14624
840	10603	14612
841	10614	14598
842	10648	14615
843	10655	14594
844	10676	14592
845	10685	14575
846	10708	14576
847	10729	14575
848	10732	14550
849	10744	14536
850	10765	14535
851	10784	14531
852	10807	14532
853	10814	14512
854	10822	14493
855	10846	14495
856	10857	14480
857	10867	14464
858	10877	14448
859	10880	14423
860	10887	14402
861	10896	14385
862	10903	14364
863	10922	14361
864	10941	14356
865	10948	14336
866	10956	14317
867	10960	14293
868	10980	14291
869	10985	14268
870	10993	14249
871	11002	14232
872	11014	14219
873	11025	14204
874	11041	14195
875	11047	14175
876	11055	14155
877	11066	14142
878	11088	14141
879	11107	14137
880	11111	14113
881	11146	14129
882	11151	14106
883	11172	14104
884	11188	14096
885	11203	14086
886	11225	14085
887	11241	14077
888	11245	14053
889	11253	14034
890	11257	14011
891	11271	14001
892	11284	13989
893	11291	13968
894	11305	13958
895	11329	13959
896	11342	13946
897	11349	13927
898	11383	13941
899	11387	13917
900	11393	13897
901	11400	13877
902	11415	13868
903	11433	13861
904	11443	13845
905	11447	13823
906	11467	13818
907	11471	13796
908	11476	13774
909	11480	13751
910	11502	13750
911	11518	13740
912	11529	13726
913	11544	13716
914	11556	13703
915	11565	13686
916	11570	13664
917	11577	13646
918	11581	13623
919	11585	13599
920	11608	13600
921	11612	13577
922	11615	13554
923	11619	13530
924	11641	13529
925	11662	13526
926	11666	13504
927	11684	13497
928	11704	13494
929	11709	13472
930	11722	13460
931	11743	13457
932	11749	13437
933	11762	13425
934	11773	13409
935	11776	13387
936	11780	13364
937	11783	13341
938	11787	13318
939	11793	13299
940	11827	13310
941	11837	13294
942	11858	13291
943	11867	13275
944	11879	13262
945	11888	13246
946	11901	13233
947	11907	13214
948	11914	13194
949	11933	13190
950	11937	13167
951	11984	13193
952	11994	13177
953	12014	13172
954	12026	13160
955	12045	13154
956	12052	13135
957	12072	13130
958	12075	13108
959	12078	13085
960	12090	13072
961	12109	13066
962	12113	13044
963	12119	13024
964	12125	13005
965	12151	13007
966	12157	12987
967	12176	12981
968	12180	12959
969	12186	12940
970	12205	12935
971	12235	12940
972	12249	12929
973	12270	12925
974	12276	12906
975	12283	12887
976	12290	12868
977	12320	12875
978	12330	12859
979	12336	12840
980	12340	12818
981	12359	12812
982	12363	12790
983	12379	12781
984	12402	12780
985	12406	12758
986	12409	12736
987	12427	12729
988	12448	12725
989	12467	12719
990	12471	12697
991	12490	12691
992	12500	12676
993	12503	12654
994	12506	12632
995	12510	12610
996	12522	12597
997	12525	12575
998	12537	12562
999	12558	12558
1000	12562	12536
1001	12565	12515
1002	12577	12502
1003	12595	12495
1004	12614	12488
1005	12620	12470
1006	12624	12448
1007	12630	12429
1008	12639	12414
1009	12658	12407
1010	12667	12392
1011	12685	12385
1012	12692	12366
1013	12696	12345
1014	12702	12327
1015	12721	12320
1016	12749	12323
1017	12753	12302
1018	12756	12280
1019	12778	12277
1020	12799	12273
1021	12809	12258
1022	12812	12236
1023	12815	12215
1024	12842	12216
1025	12867	12215
1026	12871	12194
1027	12890	12188
